graph,frequency
greet&handoff&inform&shop_turn!!!greet->inform&inform->shop_turn&shop_turn->handoff,18
greet&handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->greet&shop_turn->send_image,19
greet&inform&send_image&shop_turn!!!greet->inform&send_image->greet&shop_turn->send_image,7
greet&inform&send_image&shop_turn!!!greet->inform&inform->shop_turn&send_image->greet,6
handoff&shop_turn&thank!!!handoff->handoff&shop_turn->thank&thank->handoff,52
handoff&shop_turn&thank!!!handoff->handoff&handoff->shop_turn&thank->handoff,40
ask_is_bot&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->ask_is_bot,3
ask_is_bot&greet&handoff&shop_turn!!!ask_is_bot->greet&handoff->shop_turn&shop_turn->ask_is_bot,1
ask_availability#size&ask_is_bot&greet&shop_turn!!!ask_is_bot->greet&greet->ask_availability#size&shop_turn->ask_is_bot,1
ask_availability#size&ask_is_bot&greet&shop_turn!!!ask_availability#size->shop_turn&ask_is_bot->greet&greet->ask_availability#size,1
ask_availability#size&greet&handoff&shop_turn!!!ask_availability#size->shop_turn&greet->ask_availability#size&shop_turn->handoff,10
agree&ask_availability#size&handoff&shop_turn!!!agree->ask_availability#size&handoff->shop_turn&shop_turn->agree,10
agree&ask_availability#size&send_image&shop_turn!!!agree->ask_availability#size&ask_availability#size->send_image&shop_turn->agree,6
agree&ask_availability#size&send_image&shop_turn!!!agree->ask_availability#size&ask_availability#size->send_image&send_image->shop_turn,4
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->send_image&send_image->shop_turn&shop_turn->handoff,40
handoff&thank!!!handoff->handoff&thank->handoff,17
greet&handoff&shop_turn!!!handoff->greet&handoff->shop_turn&shop_turn->handoff,49
greet&handoff&shop_turn!!!greet->handoff&handoff->greet&shop_turn->handoff,22
greet&handoff!!!greet->handoff&handoff->greet&handoff->handoff,86
agree&greet&handoff!!!greet->handoff&handoff->agree&handoff->handoff,2
agree&handoff!!!agree->handoff&handoff->agree&handoff->handoff,14
agree&greet&handoff!!!agree->handoff&handoff->greet&handoff->handoff,4
greet&handoff&shop_turn!!!greet->shop_turn&handoff->greet&handoff->handoff,37
ask_if_sells#size&greet&request#price&send_image!!!ask_if_sells#size->request#price&greet->send_image&send_image->ask_if_sells#size,2
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->request#price&request#price->shop_turn&send_image->ask_if_sells#size,47
ask_if_sells#size&handoff&request#price&shop_turn!!!ask_if_sells#size->request#price&request#price->shop_turn&shop_turn->handoff,22
ask_availability#size&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->ask_availability#size,44
ask_availability#size&handoff&shop_turn!!!ask_availability#size->shop_turn&handoff->shop_turn&shop_turn->ask_availability#size,119
ask_availability#size&inform&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size&shop_turn->inform,34
ask_availability#size&inform&shop_turn!!!ask_availability#size->shop_turn&inform->shop_turn&shop_turn->inform,66
ask_availability#size&handoff&inform&shop_turn!!!ask_availability#size->handoff&inform->shop_turn&shop_turn->ask_availability#size,14
